sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device,is_high_sessions,is_high_drives,is_high_total_sessions,is_high_driven_km_drives,is_high_duration_minutes_drives,is_high_total_navigations_fav1,is_high_total_navigations_fav2,sessions_per_day_after_onboarding,total_sessions_per_day_after_onboarding,drives_per_activity_day,drives_per_driving_day,km_per_drive,minutes_per_drive,km_per_driving_day,minutes_per_driving_day,percent_sessions_in_last_month,total_favorite_navigations,has_favorite_navigation,favorite_navigations_per_session,actual_churn,predicted_churn,churn_probability,error_type,predicted_churn_threshold,risk_tier,behavior_cluster
126,101,152.0864753,522,0,0,5887.412712,3532.429685,6,3,Android,0,0,0,0,0,0,0,0.2413793103448276,0.2913534009578544,16.833333333333332,33.666666666666664,58.29121497029704,34.97455133663367,1962.470904,1177.4765616666666,0.8284760347786165,0,0,0.0,1,1,0.3970424632906418,True Positive,1,High Risk,2
244,208,306.1074462,1246,0,66,7874.442894,5171.307571,0,0,iPhone,1,1,0,0,1,0,0,0.1958266452648475,0.2456721077046549,0.0,0.0,37.85789852884615,24.86205562980769,0.0,0.0,0.7971057320852588,66,1,0.2156105668755208,1,1,0.4264257656698097,True Positive,1,High Risk,2
36,29,127.9080252,1367,138,0,3409.923132,1211.017213,2,1,iPhone,0,0,0,0,0,0,0,0.0263350402340892,0.0935684163862472,14.5,29.0,117.58355627586208,41.75921424137931,3409.923132,1211.017213,0.2814522383854301,138,1,1.078900247144149,1,1,0.4303093358980493,True Positive,1,High Risk,2
81,65,131.3715482,1287,364,0,949.7440283,209.6643584,2,2,iPhone,0,0,0,0,0,0,0,0.0629370629370629,0.102075795027195,32.5,32.5,14.611446589230768,3.225605513846154,474.87201415,104.8321792,0.6165718613339749,364,1,2.77076737685885,1,1,0.4369041933730774,True Positive,1,High Risk,2
19,16,175.9726451,315,20,0,1150.41125,493.7639851,1,1,iPhone,0,0,0,0,0,0,0,0.0603174603174603,0.5586433177777778,16.0,16.0,71.900703125,30.86024906875,1150.41125,493.7639851,0.1079713269593854,20,1,0.1136540283783004,0,1,0.441934645069809,False Positive,1,High Risk,2
305,248,329.3691911,23,214,5,4884.56037,1682.5065,10,10,iPhone,1,1,0,0,0,0,0,13.26086956521739,14.32039961304348,24.8,24.8,19.695807943548388,6.784300403225807,488.456037,168.25065,0.9260125362101604,219,1,0.6649073620656561,0,1,0.4954585601010887,False Positive,1,High Risk,0
322,258,360.2510251,126,160,167,3145.85459,711.9661009,4,2,iPhone,1,1,0,0,0,0,1,2.555555555555556,2.85913511984127,64.5,129.0,12.19323484496124,2.759558530620155,1572.927295,355.98305045,0.8938211901287939,327,1,0.9077004011556384,1,1,0.673316999242718,True Positive,1,High Risk,1
146,146,182.4538172,1667,414,0,1083.109714,834.3491798,2,0,iPhone,0,0,0,0,0,0,0,0.0875824835032993,0.109450400239952,73.0,0.0,7.418559684931506,5.714720409589041,0.0,0.0,0.8002024963937011,414,1,2.269067352787618,0,1,0.5363897863702023,False Positive,1,High Risk,2
743,596,839.9874777,360,0,143,10943.54797,5731.007821,11,8,iPhone,1,1,1,1,1,0,1,2.063888888888889,2.3332985491666665,54.18181818181818,74.5,18.361657667785234,9.61578493456376,1367.94349625,716.375977625,0.8845369957590739,143,1,0.1702406331003332,1,1,0.4517354528810554,True Positive,1,High Risk,1
26,21,69.20977484,863,0,0,4620.047533,1613.186716,2,1,iPhone,0,0,0,0,0,0,0,0.030127462340672,0.080196726349942,10.5,21.0,220.00226347619048,76.81841504761904,4620.047533,1613.186716,0.3756694781930315,0,0,0.0,0,1,0.4656287653828956,False Positive,1,High Risk,2
